code,description,created_at,updated_at,id
A,Separated,2020-02-02 00:00:00,2020-02-02 00:00:00,
D,Divorced,2020-02-02 00:00:00,2020-02-02 00:00:00,
003,Defacto,2020-02-02 00:00:00,2020-02-02 00:00:00,
M,Married,2020-02-02 00:00:00,2020-02-02 00:00:00,
007,Not stated,2020-02-02 00:00:00,2020-02-02 00:00:00,
005,Never married,2020-02-02 00:00:00,2020-02-02 00:00:00,
W,Widowed,2020-02-02 00:00:00,2020-02-02 00:00:00,
S,Single,2020-02-02 00:00:00,2020-02-02 00:00:00,
B,Unmarried,2020-02-02 00:00:00,2020-02-02 00:00:00,
U,Unknown,2020-02-02 00:00:00,2020-02-02 00:00:00,
