code,description,created_at,updated_at,id
IN,Indian,2020-02-02 00:00:00,2020-02-02 00:00:00,
2,American,2020-02-02 00:00:00,2020-02-02 00:00:00,
AFGHANS,Afghans,2020-02-02 00:00:00,2020-02-02 00:00:00,
AFRIKANERS,Afrikaner,2020-02-02 00:00:00,2020-02-02 00:00:00,
ALBANIANS,Albanian,2020-02-02 00:00:00,2020-02-02 00:00:00,
ALGERIANS,Algerian,2020-02-02 00:00:00,2020-02-02 00:00:00,
AMERICANS,Americans,2020-02-02 00:00:00,2020-02-02 00:00:00,
ANDORRANS,Andorrans,2020-02-02 00:00:00,2020-02-02 00:00:00,
ANGOLANS,Angolans,2020-02-02 00:00:00,2020-02-02 00:00:00,
ARGENTINES,Argentines,2020-02-02 00:00:00,2020-02-02 00:00:00,
ARMENIANS,Armenian,2020-02-02 00:00:00,2020-02-02 00:00:00,
AROMANIANS,Aromanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
AUSTRALIANS,Australian,2020-02-02 00:00:00,2020-02-02 00:00:00,
AZERIS,Azeris,2020-02-02 00:00:00,2020-02-02 00:00:00,
BAHAMIANS,Bahamian,2020-02-02 00:00:00,2020-02-02 00:00:00,
BAHRAINIS,Bahrainis,2020-02-02 00:00:00,2020-02-02 00:00:00,
BANGLADESHIS,Bangladeshis,2020-02-02 00:00:00,2020-02-02 00:00:00,
BARBADIANS,Barbadians,2020-02-02 00:00:00,2020-02-02 00:00:00,
BOTSWANANS,Botswanans,2020-02-02 00:00:00,2020-02-02 00:00:00,
BELARUSIANS,Belarusians,2020-02-02 00:00:00,2020-02-02 00:00:00,
BELGIANS,Belgians,2020-02-02 00:00:00,2020-02-02 00:00:00,
BELIZEANS,Belizeans,2020-02-02 00:00:00,2020-02-02 00:00:00,
BENINESE,Beninese,2020-02-02 00:00:00,2020-02-02 00:00:00,
BHUTANESE,Bhutanese,2020-02-02 00:00:00,2020-02-02 00:00:00,
BOERS,Boers,2020-02-02 00:00:00,2020-02-02 00:00:00,
BOLIVIANS,Bolivian,2020-02-02 00:00:00,2020-02-02 00:00:00,
BOSNIANS,Bosnians,2020-02-02 00:00:00,2020-02-02 00:00:00,
BRAZILIANS,Brazilian,2020-02-02 00:00:00,2020-02-02 00:00:00,
BRITISH,British,2020-02-02 00:00:00,2020-02-02 00:00:00,
BRUNEIANS,Bruneians,2020-02-02 00:00:00,2020-02-02 00:00:00,
BULGARIANS,Bulgarians,2020-02-02 00:00:00,2020-02-02 00:00:00,
BURKINABèS,Burkinabès,2020-02-02 00:00:00,2020-02-02 00:00:00,
BURMESE,Burmese,2020-02-02 00:00:00,2020-02-02 00:00:00,
BURUNDIANS,Burundians,2020-02-02 00:00:00,2020-02-02 00:00:00,
CAMBODIANS,Cambodian,2020-02-02 00:00:00,2020-02-02 00:00:00,
CAMEROONIANS,Cameroonian,2020-02-02 00:00:00,2020-02-02 00:00:00,
CANADIANS,Canadian,2020-02-02 00:00:00,2020-02-02 00:00:00,
CAPE VERDEANS,Cape Verdean,2020-02-02 00:00:00,2020-02-02 00:00:00,
CAR NATIONALS,CAR national,2020-02-02 00:00:00,2020-02-02 00:00:00,
CHADIANS,Chadians,2020-02-02 00:00:00,2020-02-02 00:00:00,
CHILEANS,Chileans,2020-02-02 00:00:00,2020-02-02 00:00:00,
CHINESE,Chinese,2020-02-02 00:00:00,2020-02-02 00:00:00,
COLOMBIANS,Colombians,2020-02-02 00:00:00,2020-02-02 00:00:00,
COMORIANS,Comorians,2020-02-02 00:00:00,2020-02-02 00:00:00,
CONGOLESE,Congolese,2020-02-02 00:00:00,2020-02-02 00:00:00,
COSTA RICANS,Costa Ricans,2020-02-02 00:00:00,2020-02-02 00:00:00,
CROATIANS,Croatians,2020-02-02 00:00:00,2020-02-02 00:00:00,
CUBANS,Cuban,2020-02-02 00:00:00,2020-02-02 00:00:00,
CYPRIOTS,Cypriots,2020-02-02 00:00:00,2020-02-02 00:00:00,
CZECHS,Czechs,2020-02-02 00:00:00,2020-02-02 00:00:00,
DANES,Danes,2020-02-02 00:00:00,2020-02-02 00:00:00,
DOMINICANS,Dominicans,2020-02-02 00:00:00,2020-02-02 00:00:00,
DJIBOUTIAN NATIONALS,Djiboutian nationals,2020-02-02 00:00:00,2020-02-02 00:00:00,
(DR) CONGOLESE,(DR) Congolese,2020-02-02 00:00:00,2020-02-02 00:00:00,
DUTCH PEOPLE,Dutch people,2020-02-02 00:00:00,2020-02-02 00:00:00,
EAST TIMORESE,East Timorese,2020-02-02 00:00:00,2020-02-02 00:00:00,
ECUADORIANS,Ecuadorians,2020-02-02 00:00:00,2020-02-02 00:00:00,
EGYPTIANS,Egyptian,2020-02-02 00:00:00,2020-02-02 00:00:00,
EMIRATIS,Emiratis,2020-02-02 00:00:00,2020-02-02 00:00:00,
EQUATORIAL GUINEA NATIONALS,Equatorial Guinea nationals,2020-02-02 00:00:00,2020-02-02 00:00:00,
ERITREANS,Eritreans,2020-02-02 00:00:00,2020-02-02 00:00:00,
ESTONIANS,Estonians,2020-02-02 00:00:00,2020-02-02 00:00:00,
ETHIOPIANS,Ethiopian,2020-02-02 00:00:00,2020-02-02 00:00:00,
FINNS,Finns,2020-02-02 00:00:00,2020-02-02 00:00:00,
FIJIANS,Fijians,2020-02-02 00:00:00,2020-02-02 00:00:00,
FILIPINOS,Filipinos,2020-02-02 00:00:00,2020-02-02 00:00:00,
FRENCH CITIZENS,French citizen,2020-02-02 00:00:00,2020-02-02 00:00:00,
GABONESE,Gabonese,2020-02-02 00:00:00,2020-02-02 00:00:00,
GAMBIANS,Gambians,2020-02-02 00:00:00,2020-02-02 00:00:00,
GEORGIANS,Georgians,2020-02-02 00:00:00,2020-02-02 00:00:00,
GERMANS,Germans,2020-02-02 00:00:00,2020-02-02 00:00:00,
GHANAIANS,Ghanaians,2020-02-02 00:00:00,2020-02-02 00:00:00,
GIBRALTAR,Gibraltar,2020-02-02 00:00:00,2020-02-02 00:00:00,
GREEKS,Greek,2020-02-02 00:00:00,2020-02-02 00:00:00,
GRENADIANS,Grenadians,2020-02-02 00:00:00,2020-02-02 00:00:00,
GUATEMALANS,Guatemalans,2020-02-02 00:00:00,2020-02-02 00:00:00,
GUIANESE (FRENCH),Guianese (French),2020-02-02 00:00:00,2020-02-02 00:00:00,
GUINEANS,Guineans,2020-02-02 00:00:00,2020-02-02 00:00:00,
GUINEA-BISSAU NATIONALS,Guinea-Bissau nationals,2020-02-02 00:00:00,2020-02-02 00:00:00,
GUYANESE,Guyanese,2020-02-02 00:00:00,2020-02-02 00:00:00,
HAITIANS,Haitians,2020-02-02 00:00:00,2020-02-02 00:00:00,
HERZEGOVINIANS,Herzegovinians,2020-02-02 00:00:00,2020-02-02 00:00:00,
HONDURANS,Hondurans,2020-02-02 00:00:00,2020-02-02 00:00:00,
HUNGARIANS,Hungarians,2020-02-02 00:00:00,2020-02-02 00:00:00,
ICELANDERS,Icelander,2020-02-02 00:00:00,2020-02-02 00:00:00,
INDIANS,Indians,2020-02-02 00:00:00,2020-02-02 00:00:00,
INDONESIANS,Indonesian,2020-02-02 00:00:00,2020-02-02 00:00:00,
IRANIANS,Iranian,2020-02-02 00:00:00,2020-02-02 00:00:00,
IRAQIS,Iraqis,2020-02-02 00:00:00,2020-02-02 00:00:00,
IRISH PEOPLE,Irish people,2020-02-02 00:00:00,2020-02-02 00:00:00,
ISRAELIS,Israelis,2020-02-02 00:00:00,2020-02-02 00:00:00,
ITALIANS,Italian,2020-02-02 00:00:00,2020-02-02 00:00:00,
IVOIRIANS,Ivoirians,2020-02-02 00:00:00,2020-02-02 00:00:00,
JAMAICANS,Jamaicans,2020-02-02 00:00:00,2020-02-02 00:00:00,
JAPANESE PEOPLE,Japanese people,2020-02-02 00:00:00,2020-02-02 00:00:00,
JORDANIANS,Jordanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
KAZAKHS,Kazakhs,2020-02-02 00:00:00,2020-02-02 00:00:00,
KENYANS,Kenyan,2020-02-02 00:00:00,2020-02-02 00:00:00,
I-KIRIBATI,I-Kiribati,2020-02-02 00:00:00,2020-02-02 00:00:00,
KOSOVO ALBANIANS,Kosovo Albanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
KUWAITIS,Kuwaitis,2020-02-02 00:00:00,2020-02-02 00:00:00,
KOREANS,Koreans,2020-02-02 00:00:00,2020-02-02 00:00:00,
KYRGYZ,Kyrgyz,2020-02-02 00:00:00,2020-02-02 00:00:00,
LAO,Lao,2020-02-02 00:00:00,2020-02-02 00:00:00,
LATVIANS,Latvians,2020-02-02 00:00:00,2020-02-02 00:00:00,
LEBANESE,Lebanese,2020-02-02 00:00:00,2020-02-02 00:00:00,
LEBANESE BUSINESSMEN,Lebanese businessmen,2020-02-02 00:00:00,2020-02-02 00:00:00,
LESOTHO,Lesotho,2020-02-02 00:00:00,2020-02-02 00:00:00,
LIBERIANS,Liberians,2020-02-02 00:00:00,2020-02-02 00:00:00,
LIBYANS,Libyans,2020-02-02 00:00:00,2020-02-02 00:00:00,
LIECHTENSTEINERS,Liechtensteiners,2020-02-02 00:00:00,2020-02-02 00:00:00,
LITHUANIANS,Lithuanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
LUXEMBOURGERS,Luxembourgers,2020-02-02 00:00:00,2020-02-02 00:00:00,
MACEDONIANS,Macedonians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MALAGASY,Malagasy,2020-02-02 00:00:00,2020-02-02 00:00:00,
MALAWIANS,Malawians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MALAYSIANS,Malaysian,2020-02-02 00:00:00,2020-02-02 00:00:00,
MALDIVIANS,Maldivian,2020-02-02 00:00:00,2020-02-02 00:00:00,
MALIANS,Malians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MALTESE,Maltese,2020-02-02 00:00:00,2020-02-02 00:00:00,
MANX,Manx,2020-02-02 00:00:00,2020-02-02 00:00:00,
MAURITANIANS,Mauritanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MAURITIANS,Mauritians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MEXICANS,Mexican,2020-02-02 00:00:00,2020-02-02 00:00:00,
MICRONESIANS,Micronesians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MOLDOVANS,Moldovans,2020-02-02 00:00:00,2020-02-02 00:00:00,
