code,description,created_at,updated_at,id
APAC,ASIA PACIFIC,2020-02-02 00:00:00,2020-02-02 00:00:00,
AP,ANDHRA PRADESH,2020-02-02 00:00:00,2020-02-02 00:00:00,
AR,ARUNACHAL PRADESH,2020-02-02 00:00:00,2020-02-02 00:00:00,
AS,ASSAM,2020-02-02 00:00:00,2020-02-02 00:00:00,
BR,BIHAR,2020-02-02 00:00:00,2020-02-02 00:00:00,
CG,CHHATTISGARH,2020-02-02 00:00:00,2020-02-02 00:00:00,
DL,DELHI,2020-02-02 00:00:00,2020-02-02 00:00:00,
GA,GOA,2020-02-02 00:00:00,2020-02-02 00:00:00,
GJ,GUJARAT,2020-02-02 00:00:00,2020-02-02 00:00:00,
HR,HARYANA,2020-02-02 00:00:00,2020-02-02 00:00:00,
HP,HIMACHAL PRADESH,2020-02-02 00:00:00,2020-02-02 00:00:00,
JK,JAMMUAND KASHMIR,2020-02-02 00:00:00,2020-02-02 00:00:00,
JH,JHARKHAND,2020-02-02 00:00:00,2020-02-02 00:00:00,
KA,KARNATAKA,2020-02-02 00:00:00,2020-02-02 00:00:00,
KL,KERALA,2020-02-02 00:00:00,2020-02-02 00:00:00,
MP,MADHYA PRADESH,2020-02-02 00:00:00,2020-02-02 00:00:00,
MH,MAHARASHTRA,2020-02-02 00:00:00,2020-02-02 00:00:00,
MN,MANIPUR,2020-02-02 00:00:00,2020-02-02 00:00:00,
ML,MEGHALAYA,2020-02-02 00:00:00,2020-02-02 00:00:00,
MZ,MIZORAM,2020-02-02 00:00:00,2020-02-02 00:00:00,
NL,NAGALAND,2020-02-02 00:00:00,2020-02-02 00:00:00,
OR,ORISSA,2020-02-02 00:00:00,2020-02-02 00:00:00,
PB,PUNJAB,2020-02-02 00:00:00,2020-02-02 00:00:00,
RJ,RAJASTHAN,2020-02-02 00:00:00,2020-02-02 00:00:00,
SK,SIKKIM,2020-02-02 00:00:00,2020-02-02 00:00:00,
TN,TAMILNADU,2020-02-02 00:00:00,2020-02-02 00:00:00,
TR,TRIPURA,2020-02-02 00:00:00,2020-02-02 00:00:00,
UP,UTTARPRADESH,2020-02-02 00:00:00,2020-02-02 00:00:00,
UA,UTTARAKHAND,2020-02-02 00:00:00,2020-02-02 00:00:00,
WB,WESTBENGAL,2020-02-02 00:00:00,2020-02-02 00:00:00,
AN,ANDAMAN AND NICOBAR,2020-02-02 00:00:00,2020-02-02 00:00:00,
CH,CHANDIGARH,2020-02-02 00:00:00,2020-02-02 00:00:00,
DN,DADRAANDNAGARHAVELI,2020-02-02 00:00:00,2020-02-02 00:00:00,
DD,DAMANDIU,2020-02-02 00:00:00,2020-02-02 00:00:00,
LD,LAKSHADWEEP,2020-02-02 00:00:00,2020-02-02 00:00:00,
PY,PONDICHERRY,2020-02-02 00:00:00,2020-02-02 00:00:00,
TS,TELANGANA,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDBAR,BARISHAL,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDCHA,CHATTOGRAM,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDDHA,DHAKA,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDKHU,KHULNA,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDMYM,MYMENSINGH,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDRAJ,RAJSHAHI,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDRAN,RANGPUR,2020-02-02 00:00:00,2020-02-02 00:00:00,
BDSYL,SYLHET,2020-02-02 00:00:00,2020-02-02 00:00:00,
CO,COLOMBO,2020-02-02 00:00:00,2020-02-02 00:00:00,
