code,description,created_at,updated_at,id
001,Wife,2020-02-02 00:00:00,2020-02-02 00:00:00,
002,Husband,2020-02-02 00:00:00,2020-02-02 00:00:00,
003,Mother,2020-02-02 00:00:00,2020-02-02 00:00:00,
004,Father,2020-02-02 00:00:00,2020-02-02 00:00:00,
005,Son,2020-02-02 00:00:00,2020-02-02 00:00:00,
006,Daughter,2020-02-02 00:00:00,2020-02-02 00:00:00,
007,Brother,2020-02-02 00:00:00,2020-02-02 00:00:00,
008,Sister,2020-02-02 00:00:00,2020-02-02 00:00:00,
009,Friend,2020-02-02 00:00:00,2020-02-02 00:00:00,
010,Defacto-wife,2020-02-02 00:00:00,2020-02-02 00:00:00,
011,Defacto-husband,2020-02-02 00:00:00,2020-02-02 00:00:00,
012,Grandmother,2020-02-02 00:00:00,2020-02-02 00:00:00,
013,Grandfather,2020-02-02 00:00:00,2020-02-02 00:00:00,
014,Grandson,2020-02-02 00:00:00,2020-02-02 00:00:00,
015,Grand-daughter,2020-02-02 00:00:00,2020-02-02 00:00:00,
016,Fiancee,2020-02-02 00:00:00,2020-02-02 00:00:00,
017,Partner,2020-02-02 00:00:00,2020-02-02 00:00:00,
018,Step-mother,2020-02-02 00:00:00,2020-02-02 00:00:00,
019,Step-Father,2020-02-02 00:00:00,2020-02-02 00:00:00,
020,Step-daughter,2020-02-02 00:00:00,2020-02-02 00:00:00,
021,Step-son,2020-02-02 00:00:00,2020-02-02 00:00:00,
022,Step-grandmother,2020-02-02 00:00:00,2020-02-02 00:00:00,
023,Step-grandfather,2020-02-02 00:00:00,2020-02-02 00:00:00,
024,Step-brother,2020-02-02 00:00:00,2020-02-02 00:00:00,
025,Step-sister,2020-02-02 00:00:00,2020-02-02 00:00:00,
026,Carer,2020-02-02 00:00:00,2020-02-02 00:00:00,
027,Foster parent,2020-02-02 00:00:00,2020-02-02 00:00:00,
028,Guardian,2020-02-02 00:00:00,2020-02-02 00:00:00,
029,Aunt,2020-02-02 00:00:00,2020-02-02 00:00:00,
030,Uncle,2020-02-02 00:00:00,2020-02-02 00:00:00,
031,Cousin,2020-02-02 00:00:00,2020-02-02 00:00:00,
032,Niece,2020-02-02 00:00:00,2020-02-02 00:00:00,
053,Other,2020-02-02 00:00:00,2020-02-02 00:00:00,
035,Ex-wife,2020-02-02 00:00:00,2020-02-02 00:00:00,
046,Case Manager,2020-02-02 00:00:00,2020-02-02 00:00:00,
048,Parent,2020-02-02 00:00:00,2020-02-02 00:00:00,
052,Foster daughter,2020-02-02 00:00:00,2020-02-02 00:00:00,
043,Daughter-in law,2020-02-02 00:00:00,2020-02-02 00:00:00,
034,Neighbour,2020-02-02 00:00:00,2020-02-02 00:00:00,
047,Employer,2020-02-02 00:00:00,2020-02-02 00:00:00,
049,Foster mother,2020-02-02 00:00:00,2020-02-02 00:00:00,
042,Son-in-Law,2020-02-02 00:00:00,2020-02-02 00:00:00,
041,Sister-in-Law,2020-02-02 00:00:00,2020-02-02 00:00:00,
050,Foster father,2020-02-02 00:00:00,2020-02-02 00:00:00,
037,Clergy,2020-02-02 00:00:00,2020-02-02 00:00:00,
039,Father-in-law,2020-02-02 00:00:00,2020-02-02 00:00:00,
044,Aboriginal Liasion Officer,2020-02-02 00:00:00,2020-02-02 00:00:00,
051,Foster son,2020-02-02 00:00:00,2020-02-02 00:00:00,
033,Nephew,2020-02-02 00:00:00,2020-02-02 00:00:00,
040,Brother-in-law,2020-02-02 00:00:00,2020-02-02 00:00:00,
036,Ex-husband,2020-02-02 00:00:00,2020-02-02 00:00:00,
038,Mother-in-law,2020-02-02 00:00:00,2020-02-02 00:00:00,
045,Power of Attorney,2020-02-02 00:00:00,2020-02-02 00:00:00,
054,Employee,2020-02-02 00:00:00,2020-02-02 00:00:00,
055,Spouse,2020-02-02 00:00:00,2020-02-02 00:00:00,
056,Child1,2020-02-02 00:00:00,2020-02-02 00:00:00,
057,Child2,2020-02-02 00:00:00,2020-02-02 00:00:00,
058,Child3,2020-02-02 00:00:00,2020-02-02 00:00:00,
059,Self,2020-02-02 00:00:00,2020-02-02 00:00:00,
