code,description,created_at,updated_at,id
GM,INTERNAL MEDICINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
SU,SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
OB,OBG,2020-02-02 00:00:00,2020-02-02 00:00:00,
NN,Neonatology,2020-02-02 00:00:00,2020-02-02 00:00:00,
CD,CARDIOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
OR,ORTHOPAEDICS,2020-02-02 00:00:00,2020-02-02 00:00:00,
AN,ANESTHESIOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
PD,PAEDIATRICS,2020-02-02 00:00:00,2020-02-02 00:00:00,
DE,DENTAL,2020-02-02 00:00:00,2020-02-02 00:00:00,
DM,DERMATOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
ON,MEDICAL ONCOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
EN,ENT,2020-02-02 00:00:00,2020-02-02 00:00:00,
GI,GASTROENTEROLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
PY,PSYCHIATRY,2020-02-02 00:00:00,2020-02-02 00:00:00,
UR,UROLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
RD,RADIOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
NE,NEUROLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
OP,OPHTHAMOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
EC,ENDOCRINOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
BB,BLOOD BANK,2020-02-02 00:00:00,2020-02-02 00:00:00,
CC,CRITICAL CARE,2020-02-02 00:00:00,2020-02-02 00:00:00,
CS,CARDIOTHORACIC SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
CU,CASUALTY,2020-02-02 00:00:00,2020-02-02 00:00:00,
CY,CYTOGENETICS,2020-02-02 00:00:00,2020-02-02 00:00:00,
DB,DIABETES,2020-02-02 00:00:00,2020-02-02 00:00:00,
DR,DIABETES AND ENDOCRINOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
GS,GENERAL SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
GY,OBSTETRICS & GYNAECOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
HC,HEALTH CHECK,2020-02-02 00:00:00,2020-02-02 00:00:00,
HM,HAEMATOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
IM,INTERNAL MEDICINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
IV,IVF ART,2020-02-02 00:00:00,2020-02-02 00:00:00,
MB,MICROBIOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
MG,MEDICAL GASTROENTEROLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
MI,MICU,2020-02-02 00:00:00,2020-02-02 00:00:00,
ML,MEDICO-LEGAL,2020-02-02 00:00:00,2020-02-02 00:00:00,
NI,NICU,2020-02-02 00:00:00,2020-02-02 00:00:00,
NM,NUCLEAR MEDICINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
NP,NEPHROLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
NS,NEURO SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
PA,PATHOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
PH,PHYSICAL MEDICINE AND REHABILITATION,2020-02-02 00:00:00,2020-02-02 00:00:00,
PI,PICU,2020-02-02 00:00:00,2020-02-02 00:00:00,
PP,PAIN AND PALLIATIVE SERVICES,2020-02-02 00:00:00,2020-02-02 00:00:00,
PR,PAEDIATRIC SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
PS,PLASTIC SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
PU,PULMONOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
RM,RHEUMATOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
RT,RADIOTHERAPHY,2020-02-02 00:00:00,2020-02-02 00:00:00,
SG,SURGICAL GASTROENTROLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
SO,SURGICAL ONCOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
SP,SPORTS & EXERCISE MEDICINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
SR,STEM RESEARCH CELL,2020-02-02 00:00:00,2020-02-02 00:00:00,
VS,VASCULAR SURGERY,2020-02-02 00:00:00,2020-02-02 00:00:00,
YT,YOGATHERAPY,2020-02-02 00:00:00,2020-02-02 00:00:00,
OM,ORAL MAXILLOFACIAL,2020-02-02 00:00:00,2020-02-02 00:00:00,
FE,FETAL MEDICINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
GN,GENETICS,2020-02-02 00:00:00,2020-02-02 00:00:00,
PORTHO,PAEDIATRIC ORTHOPEDICS,2020-02-02 00:00:00,2020-02-02 00:00:00,
PDD,PAEDIATRICS DEVELOPMENT MHB,2020-02-02 00:00:00,2020-02-02 00:00:00,
TH,TECHNICIAN,2020-02-02 00:00:00,2020-02-02 00:00:00,
OS,ORTHO SPINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
NPY,NEUROPSYCHOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
HCD,HOME CARE SERVICES,2020-02-02 00:00:00,2020-02-02 00:00:00,
SC,SPINE CARE,2020-02-02 00:00:00,2020-02-02 00:00:00,
IPM,INTERVENTIONAL PAIN MEDICINE,2020-02-02 00:00:00,2020-02-02 00:00:00,
LT,LIVER TRANSPLANT,2020-02-02 00:00:00,2020-02-02 00:00:00,
RPM,RESPIRATORY MEDICINE & PULMONOLOGY,2020-02-02 00:00:00,2020-02-02 00:00:00,
