code,description,created_at,updated_at,id
DR,Doctor,2020-02-02 00:00:00,2020-02-02 00:00:00,
MSTR,Master,2020-02-02 00:00:00,2020-02-02 00:00:00,
MISS,Miss,2020-02-02 00:00:00,2020-02-02 00:00:00,
MR,Mr,2020-02-02 00:00:00,2020-02-02 00:00:00,
MRS,Mrs,2020-02-02 00:00:00,2020-02-02 00:00:00,
MS,Ms,2020-02-02 00:00:00,2020-02-02 00:00:00,
SIR,Sir,2020-02-02 00:00:00,2020-02-02 00:00:00,
LADY,Lady,2020-02-02 00:00:00,2020-02-02 00:00:00,
PROF,Professor,2020-02-02 00:00:00,2020-02-02 00:00:00,
BR,Brother,2020-02-02 00:00:00,2020-02-02 00:00:00,
REV,Reverend,2020-02-02 00:00:00,2020-02-02 00:00:00,
SR,Sister,2020-02-02 00:00:00,2020-02-02 00:00:00,
DOC,DR,2020-02-02 00:00:00,2020-02-02 00:00:00,
BABY,BABY,2020-02-02 00:00:00,2020-02-02 00:00:00,
B/O,B/O,2020-02-02 00:00:00,2020-02-02 00:00:00,
COL,Col.,2020-02-02 00:00:00,2020-02-02 00:00:00,
JUS,Justice,2020-02-02 00:00:00,2020-02-02 00:00:00,
PAS,Pastor,2020-02-02 00:00:00,2020-02-02 00:00:00,
